,capacity,bucket_size,alpha,fpr,rehash
0,1024,2,0.88134766,0.0,10.32526
1,1024,4,0.96240234,0.00050723,11.684783
2,1024,8,0.99035645,0.00049298,10.803969
3,2048,2,0.86914062,0.0,9.059675
4,2048,4,0.96459961,0.00012653,9.956441
5,2048,8,0.99066162,0.00024643,10.008647
6,4096,2,0.87963867,0.00013875,10.285202
7,4096,4,0.9644165,0.00018985,9.606526
8,4096,8,0.98855591,0.00027783,8.955584
9,8192,2,0.87463379,6.978e-05,7.738484
10,8192,4,0.96417236,0.0001266,8.223008
11,8192,8,0.98640442,0.00021656,7.681196
12,16384,2,0.87948608,0.00010409,9.073171
13,16384,4,0.95837402,0.00014329,8.069336
14,16384,8,0.9865799,0.00027839,7.687374
15,32768,2,0.87785339,5.214e-05,8.091339
16,32768,4,0.95404053,0.00012795,7.043848
17,32768,8,0.98922348,0.00025451,7.779868
18,65536,2,0.86899567,5.268e-05,6.794532
19,65536,4,0.95285797,0.00010409,6.361816
20,65536,8,0.98603249,0.00018376,6.789121
21,131072,2,0.87250519,5.684e-05,7.197542
22,131072,4,0.95719147,9.764e-05,6.957607
23,131072,8,0.98352623,0.00023175,6.794519
24,262144,2,0.86690903,6.38e-05,6.428486
25,262144,4,0.95658112,9.272e-05,6.675938
26,262144,8,0.98119211,0.00023181,6.319153
27,524288,2,0.86638641,3.522e-05,6.389096
28,524288,4,0.95435429,0.00010942,6.414817
29,524288,8,0.98345518,0.00023807,6.466691
