,capacity,bucket_size,alpha,fpr,rehash
0,1024,2,0.70458984,0.0,6.785714
1,1024,4,0.75463867,0.0,6.978992
2,1024,8,0.81506348,0.00074873,5.894879
3,2048,2,0.63696289,0.0,4.598639
4,2048,4,0.7199707,0.0,4.281646
5,2048,8,0.77990723,0.00023476,4.038986
6,4096,2,0.65759277,0.0,3.466667
7,4096,4,0.72888184,0.00016746,3.262673
8,4096,8,0.7756958,0.00023604,3.18191
9,8192,2,0.64263916,9.497e-05,3.440708
10,8192,4,0.73764038,0.00012411,3.048363
11,8192,8,0.76455688,7.983e-05,2.842551
12,16384,2,0.65869141,4.633e-05,3.109804
13,16384,4,0.70965576,6.45e-05,3.01337
14,16384,8,0.77559662,0.00027543,2.794725
15,32768,2,0.65539551,2.328e-05,3.267723
16,32768,4,0.73695374,0.00011388,3.027306
17,32768,8,0.77448273,0.00019209,2.855788
18,65536,2,0.64017487,2.384e-05,2.759378
19,65536,4,0.70681,8.096e-05,2.4381
20,65536,8,0.77425003,0.00017244,2.365966
21,131072,2,0.63739395,4.788e-05,2.664752
22,131072,4,0.72149849,8.724e-05,2.516703
23,131072,8,0.77573395,0.00015367,2.523129
24,262144,2,0.64289284,4.154e-05,2.664901
25,262144,4,0.72190952,6.869e-05,2.604809
26,262144,8,0.76654053,0.00018413,2.499371
27,524288,2,0.63727283,3.143e-05,2.726645
28,524288,4,0.71485043,8.338e-05,2.472313
29,524288,8,0.76866412,0.00018796,2.400535
