,capacity,bucket_size,alpha,fpr,rehash
0,1024,2,0.87597656,0.0,17.88
1,1024,4,0.95922852,0.00050891,14.743462
2,1024,8,0.98535156,0.00049548,11.798113
3,2048,2,0.8605957,0.0,10.867052
4,2048,4,0.95239258,0.00012816,9.377926
5,2048,8,0.98596191,0.0002476,8.934491
6,4096,2,0.86828613,0.00014057,10.171346
7,4096,4,0.95471191,0.00019178,9.391199
8,4096,8,0.98773193,0.00027806,9.339262
9,8192,2,0.86737061,7.036e-05,9.171317
10,8192,4,0.95812988,0.0001274,8.864483
11,8192,8,0.98803711,0.00021621,8.881114
12,16384,2,0.84753418,7.201e-05,6.886833
13,16384,4,0.95832825,0.0001433,8.594745
14,16384,8,0.98428345,0.00027904,8.07429
15,32768,2,0.86767578,5.276e-05,9.772711
16,32768,4,0.94759369,0.00012882,7.960772
17,32768,8,0.98271179,0.00024843,7.4134
18,65536,2,0.8553009,6.244e-05,7.758258
19,65536,4,0.95260239,0.00010412,7.759037
20,65536,8,0.98516273,0.00018199,7.768308
21,131072,2,0.85913849,5.328e-05,8.013099
22,131072,4,0.9494648,0.00010044,7.513267
23,131072,8,0.97830868,0.00022811,6.844115
24,262144,2,0.85139847,6.497e-05,7.10679
25,262144,4,0.94505405,8.88e-05,6.756457
26,262144,8,0.97966909,0.00023071,6.557611
27,524288,2,0.85122204,3.585e-05,7.187814
28,524288,4,0.94684124,0.0001118,6.943906
29,524288,8,0.98221445,0.00023715,6.963309
