,capacity,bucket_size,alpha,fpr,rehash
0,1024,2,0.88134766,0.0,10.32526
1,1024,4,0.96435547,0.0005062,8.978469
2,1024,8,0.99450684,0.00049092,8.657363
3,2048,2,0.86914062,0.0,9.059675
4,2048,4,0.96459961,0.00012653,8.212539
5,2048,8,0.99243164,0.00024599,7.736243
6,4096,2,0.87963867,0.00013875,10.285202
7,4096,4,0.96954346,0.00018885,9.356652
8,4096,8,0.99313354,0.00027655,8.086236
9,8192,2,0.87463379,6.978e-05,7.738484
10,8192,4,0.96188354,0.0001269,6.58431
11,8192,8,0.99351501,0.00021501,6.851835
12,16384,2,0.87948608,0.00010409,9.073171
13,16384,4,0.96598816,0.00015796,7.822786
14,16384,8,0.99217224,0.00027682,7.015281
15,32768,2,0.87785339,5.214e-05,8.091339
16,32768,4,0.96669006,0.00011049,7.384047
17,32768,8,0.99223328,0.00025374,6.813491
18,65536,2,0.86899567,5.268e-05,6.794532
19,65536,4,0.96427155,0.00011077,6.517247
20,65536,8,0.99139214,0.00018854,6.279885
21,131072,2,0.87250519,5.684e-05,7.197542
22,131072,4,0.96583176,9.874e-05,6.902142
23,131072,8,0.99052143,0.00022818,6.344892
24,262144,2,0.86690903,6.38e-05,6.428486
25,262144,4,0.9613409,9.424e-05,6.10748
26,262144,8,0.9888339,0.00023629,5.704734
27,524288,2,0.86638641,3.522e-05,6.389096
28,524288,4,0.95994711,0.00011027,5.934185
29,524288,8,0.988235,0.00024029,5.564259
