,capacity,bucket_size,alpha,fpr
0,1024,2,0.88134766,0.0
1,1024,4,0.96435547,0.0005062
2,2048,2,0.86914062,0.0
3,2048,4,0.96459961,0.00012653
4,4096,2,0.87963867,0.00013875
5,4096,4,0.96954346,0.00018885
6,8192,2,0.87463379,6.978e-05
7,8192,4,0.96188354,0.0001269
8,16384,2,0.87948608,0.00010409
9,16384,4,0.96598816,0.00015796
10,32768,2,0.87785339,5.214e-05
11,32768,4,0.96669006,0.00011049
12,65536,2,0.86899567,5.268e-05
13,65536,4,0.96427155,0.00011077
14,131072,2,0.87250519,5.684e-05
15,131072,4,0.96583176,9.874e-05
16,262144,2,0.86690903,6.38e-05
17,262144,4,0.9613409,9.424e-05
18,524288,2,0.86638641,3.522e-05
19,524288,4,0.95994711,0.00011027
20,1048576,2,0.8626852,5.693e-05
21,1048576,4,0.95910788,0.00012031
22,2097152,2,0.86009336,4.906e-05
23,2097152,4,0.95535278,0.00011829
