,capacity,bucket_size,alpha,fpr,rehash,type
0,1024,2,0.88134766,0.0,10.32526,RR
1,1024,4,0.96435547,0.0005062,8.978469,RR
2,1024,8,0.99450684,0.00049092,8.657363,RR
3,2048,2,0.86914062,0.0,9.059675,RR
4,2048,4,0.96459961,0.00012653,8.212539,RR
5,2048,8,0.99243164,0.00024599,7.736243,RR
6,4096,2,0.87963867,0.00013875,10.285202,RR
7,4096,4,0.96954346,0.00018885,9.356652,RR
8,4096,8,0.99313354,0.00027655,8.086236,RR
9,8192,2,0.87463379,6.978e-05,7.738484,RR
10,8192,4,0.96188354,0.0001269,6.58431,RR
11,8192,8,0.99351501,0.00021501,6.851835,RR
12,16384,2,0.87948608,0.00010409,9.073171,RR
13,16384,4,0.96598816,0.00015796,7.822786,RR
14,16384,8,0.99217224,0.00027682,7.015281,RR
15,32768,2,0.87785339,5.214e-05,8.091339,RR
16,32768,4,0.96669006,0.00011049,7.384047,RR
17,32768,8,0.99223328,0.00025374,6.813491,RR
18,65536,2,0.86899567,5.268e-05,6.794532,RR
19,65536,4,0.96427155,0.00011077,6.517247,RR
20,65536,8,0.99139214,0.00018854,6.279885,RR
21,131072,2,0.87250519,5.684e-05,7.197542,RR
22,131072,4,0.96583176,9.874e-05,6.902142,RR
23,131072,8,0.99052143,0.00022818,6.344892,RR
24,262144,2,0.86690903,6.38e-05,6.428486,RR
25,262144,4,0.9613409,9.424e-05,6.10748,RR
26,262144,8,0.9888339,0.00023629,5.704734,RR
27,524288,2,0.86638641,3.522e-05,6.389096,RR
28,524288,4,0.95994711,0.00011027,5.934185,RR
29,524288,8,0.988235,0.00024029,5.564259,RR
30,1024,2,0.70458984,0.0,6.785714,FIRST
31,1024,4,0.75463867,0.0,6.978992,FIRST
32,1024,8,0.81506348,0.00074873,5.894879,FIRST
33,2048,2,0.63696289,0.0,4.598639,FIRST
34,2048,4,0.7199707,0.0,4.281646,FIRST
35,2048,8,0.77990723,0.00023476,4.038986,FIRST
36,4096,2,0.65759277,0.0,3.466667,FIRST
37,4096,4,0.72888184,0.00016746,3.262673,FIRST
38,4096,8,0.7756958,0.00023604,3.18191,FIRST
39,8192,2,0.64263916,9.497e-05,3.440708,FIRST
40,8192,4,0.73764038,0.00012411,3.048363,FIRST
41,8192,8,0.76455688,7.983e-05,2.842551,FIRST
42,16384,2,0.65869141,4.633e-05,3.109804,FIRST
43,16384,4,0.70965576,6.45e-05,3.01337,FIRST
44,16384,8,0.77559662,0.00027543,2.794725,FIRST
45,32768,2,0.65539551,2.328e-05,3.267723,FIRST
46,32768,4,0.73695374,0.00011388,3.027306,FIRST
47,32768,8,0.77448273,0.00019209,2.855788,FIRST
48,65536,2,0.64017487,2.384e-05,2.759378,FIRST
49,65536,4,0.70681,8.096e-05,2.4381,FIRST
50,65536,8,0.77425003,0.00017244,2.365966,FIRST
51,131072,2,0.63739395,4.788e-05,2.664752,FIRST
